sample,treatment,replicate,rack,height1,leaf1,chloro1,height2,leaf2,chloro2,height3,leaf3,chloro3,height4,leaf4,chloro4,nod_mass,total_nod,shoot_mass,root_mass
522co141-5-r20,522co141,5,20,1.2,4,29.1,3.9,11,38.9,5.6,19,32.1,9.4,45,44.6,0.0017334,21,163.27,55.8
522co141-6-r18,522co141,6,18,3.1,6,38,5.3,15,37.4,6.8,27,42.9,10.1,81,50.1,0.0021526,44,330.58,119.85
522co141-7-r18,522co141,7,18,2.9,6,36.3,4.6,12,39.1,6.8,22,40.8,9,70,49.5,0.0023638,33,286.23,68.9
522co141-8-r18,522co141,8,18,3.2,6,33.4,5,12,38.9,6.9,33,42.2,8.5,78,47.1,0.0016422,43,354.18,164.63
522co141-9-r18,522co141,9,18,2.5,7,38,5,12,42,5.6,24,37.5,8.4,60,47.6,0.0007898,34,226.13,57.27
522co141-10-r18,522co141,10,18,2.4,6,32.1,4.4,12,38.5,6.3,22,41.2,8.7,64,49.2,0.0032796,29,265.74,83.98
522co141-11-r39,522co141,11,39,1.9,3,31.7,3.6,9,33.4,5.1,15,37.6,7,48,44.3,0.0009452,34,120.93,55.74
522co141-12-r39,522co141,12,39,3.5,5,31.6,5,14,32.5,6,28,37.6,7.9,62,47.9,0.0018886,26,203.83,66.94
522co141-13-r39,522co141,13,39,1.9,6,42.6,3.5,12,37.9,5,18,37.7,6.8,48,46.8,0.0009966,20,121.97,48.96
522co141-14-r39,522co141,14,39,2.2,6,34.9,4.3,12,35.7,5.6,22,35.6,7.2,54,45.3,0.0015232,24,160.63,60.08
522co141-15-r39,522co141,15,39,1.4,6,39.7,2.7,9,35.5,4,15,32.9,7.1,49,46.6,0.0017,25,104.96,42.61
522co141-16-r22,522co141,16,22,2.4,6,41.6,3.6,12,38.5,5.4,29,41.1,7.9,73,46.9,0.0017366,37,241.27,128.67
522co141-17-r22,522co141,17,22,1.6,3,39.6,3.7,9,43.8,5.3,21,43.3,7.2,63,46.1,0.0016118,34,193.47,93.38
522co141-18-r22,522co141,18,22,2,3,31.3,3.8,9,34.8,5.3,27,42.1,7,63,47,0.0025514,42,239.91,113.3
522co141-19-r22,522co141,19,22,1.7,6,NA,3.8,12,33.9,5.3,21,40,7,54,46,0.000836,46,198.98,150.29
522co141-20-r22,522co141,20,22,3,6,36.2,5.3,12,42.7,6.1,36,42.2,8.3,65,46.3,0.0016786,38,354.44,153.1
702co141-1-r10,702co141,1,10,2.8,6,30.1,4.2,9,33.6,5.2,13,32.1,7.6,43,38.4,0.0017474,35,117.28,47.16
702co141-2-r10,702co141,2,10,2.1,3,31.6,3.5,9,38.3,5.4,13,35.3,8.9,43,43.2,0.0018118,25,118.74,48.26
702co141-3-r10,702co141,3,10,3,6,34.8,4.4,12,34,6.2,16,33.7,8.8,43,45.7,0.0012,28,150.86,51.64
702co141-4-r10,702co141,4,10,2.4,6,34.1,4.5,12,33.8,6.6,19,40.2,9.3,60,42.5,0.0019674,22,197.93,74.87
